Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
The Albert,8181402543350,Precast  > Building A  > Ground,2014-06-12,vincec,Defect,Builder,Nucon (Trevor),2014-08-12,None,Closed,Horizontal marks on panel,,,None,0.00
The Albert,8181409792693,Precast  > Building D  > Level 03,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Panel chipped,,,None,0.00
The Albert,8181409792964,Precast  > Building D  > Level 03,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Panel chipped at the bottom,,,None,0.00
The Albert,8181409793462,Precast  > Building D  > Level 02,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Top of panel chipped,,,None,0.00
The Albert,8181409793560,Precast  > Building D  > Level 02,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,"Chipped panel
",,,None,0.00
The Albert,8181409794098,Precast  > Building A  > Level 02,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Chipped panel,,,None,0.00
The Albert,8181409794337,Precast  > Building A  > Level 02,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Panel chipped at top,,,None,0.00
The Albert,8181409794794,Precast  > Building A  > Level 01,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Chipped panel at top,,,None,0.00
The Albert,8181409795096,Precast  > Building C  > Level 01,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Chipped panel,,,None,0.00
The Albert,8181409795341,Precast  > Building B  > Ground,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Chipped panel,,,None,0.00
The Albert,8181409795479,Precast  > Building C  > Ground,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Panel chipped at the top,,,None,0.00
The Albert,8181409795890,Precast  > Building C  > Level 01,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Chipped panel,,,None,0.00
The Albert,8181409796006,Precast  > Building B  > Level 01,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Chipped panel,,,None,0.00
The Albert,8181409796186,Precast  > Building B  > Level 01,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Top of panel untidy,,,None,0.00
The Albert,8181409796353,Precast  > Building A  > Level 01,2014-09-04,aidanr,Defect,Builder,Nucon (Trevor),2014-09-10,None,Open,Joint between panels untidy,,,None,0.00
