Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Metro West,7721380671101,1 Mezanine > Stair > Stair A,2013-10-02,frosselli,Defect,Architect,Aardvark (Jay),2013-10-05,Backcharge,Closed,Test,,,Low,100.00
Metro West,7831390005540,Level 02 > 213 > Balcony,2014-01-18,jvenditti,Incomplete Works,Builder,ABD Group (Gino Aiello),2014-01-29,None,Open,Precast wall returning into window needs CFC cladding,,,None,0.00
