Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,7781395265635,Ground > 1D > Living,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Glass not installed,,,None,0.00
La Scala,7781395265870,Ground > 2D > Laundry,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),17/04/2014,None,Closed,Uninstalled window ,,,None,0.00
La Scala,7781395265969,Ground > 2D > Laundry,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),17/04/2014,None,Closed,Uninstalled window + beams,,,None,0.00
La Scala,7781395266078,Ground > 3D > Living,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window ,,,None,0.00
La Scala,7781395266149,Ground > 3D > Bedroom,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window ,,,None,0.00
La Scala,7781395266226,Ground > 3D > Living,20/03/2014,kreardon,Defect,Builder,CHAMPION (Peter),14/04/2014,None,Closed,Hole in concrete,,,None,0.00
La Scala,7781395266299,Ground > 4D > Living,20/03/2014,billb,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled windows,,,None,0.00
La Scala,7781395266333,Ground > 4D > Living,20/03/2014,billb,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),14/04/2014,None,Closed,Touch up of paint,,,None,0.00
La Scala,7781395266402,Ground > 4D > Bedroom,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395266468,Ground > 4D > Living,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395266497,Ground > 4D > Living,20/03/2014,billb,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Cracked window,,,None,0.00
La Scala,7781395266618,Ground > 5D > Living,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395266760,Ground > 5D > Living,20/03/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan),14/04/2014,None,Closed,Crack in the plaster near wires,,,None,0.00
La Scala,7781395266805,Ground > 6D > Living,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395266851,Ground > 6D > Kitchen,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395266888,Ground > 6D > Kitchen,20/03/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan),14/04/2014,None,Closed,Revealing ceiling ,,,None,0.00
La Scala,7781395266978,Ground > 7D > Living,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395267016,Ground > 7D > Bedroom 2,20/03/2014,billb,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled frame,,,None,0.00
La Scala,7781395267044,Ground > 7D > Bedroom 2,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395267087,Ground > 7D > Laundry,20/03/2014,billb,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled frame,,,None,0.00
La Scala,7781395267107,Ground > 7D > Laundry,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395267148,Ground > 7D > Laundry,20/03/2014,billb,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),14/04/2014,None,Closed,Touch up of paint,,,None,0.00
La Scala,7781395267167,Ground > 7D > Laundry,20/03/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan),14/04/2014,None,Closed,Exposed ceiling,,,None,0.00
La Scala,7781395267224,Ground > Common Areas  > Corridor,20/03/2014,kreardon,Defect,Builder,Valley Constructions (Eric) (Eric),14/04/2014,None,Closed,Touch up paint + uninstalled light,,,None,0.00
La Scala,7781395267267,Ground > 8D > Living,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled frame,,,None,0.00
La Scala,7781395267286,Ground > 8D > Living,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395267331,Ground > 8D > Bedroom 2,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,No roller doors installed,,,None,0.00
La Scala,7781395267359,Ground > 8D > Bedroom 2,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,"Uninstalled window
",,,None,0.00
La Scala,7781395267427,Ground > 8D > Bedroom 1,20/03/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Sheets of Glass (not installed) + plaster on floor,,,None,0.00
La Scala,7781395267449,Ground > 8D > Bedroom 1,20/03/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan),14/04/2014,None,Closed,Crack in plaster,,,None,0.00
La Scala,7781395267477,Ground > 8D > Bedroom 1,20/03/2014,kreardon,Defect,Builder,Oscan Windows (Dean) (Dean),14/04/2014,None,Closed,Uninstalled window,,,None,0.00
La Scala,7781395267563,Ground > Common Areas  > Corridor,20/03/2014,kreardon,Defect,Builder,Valley Constructions (Eric) (Eric),14/04/2014,None,Closed,Touch up paint + uninstalled light,,,None,0.00
