Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,7781395884012,Level 02 > Common Areas (Copy 1) > Corridor,27/03/2014,kreardon,Defect,Builder,Rising Star (Alan) (Alan),26/04/2014,None,Open,Plaster,,,None,0.00
La Scala,7781404870797,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),10/07/2014,None,Open,Patch screw holes next rail and touch up,,,None,0.00
La Scala,7781404870850,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),11/07/2014,None,Open,Stone missing,,,None,0.00
La Scala,7781404870904,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),06/08/2014,None,Open,"Basin, tap not install due to stone",,,None,0.00
La Scala,7781404870932,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,NA,10/07/2014,None,Open,Mirror not installed,,,None,0.00
La Scala,7781404870966,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,NA,10/07/2014,None,Open,Caulking to tiles missing,,,None,0.00
La Scala,7781404957104,Level 04 > 403D,10/07/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),10/07/2014,None,Open,Swing door bottom seal missing,,,None,0.00
La Scala,7781404958550,Level 04 > 403D > Kitchen,10/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),11/07/2014,None,Open,Stone missing,,,None,0.00
La Scala,7781404958582,Level 04 > 403D > Kitchen,10/07/2014,kreardon,Incomplete Works,Builder,NA,11/07/2014,None,Open,Make good tiles,,,None,0.00
La Scala,7781404970080,Level 04 > 403D > Bedroom 1 > Ensuite,10/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),12/07/2014,None,Open,Stone not installed,,,None,0.00
La Scala,7781407284604,Level 03 > 303D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),08/08/2014,None,Open,Touch up paint on skirt,,,None,0.00
La Scala,7781407286718,Level 02 > 204D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Adjust drawers,,,None,0.00
La Scala,7781407286813,Level 02 > 204D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),09/08/2014,None,Open,Caulk,,,None,0.00
La Scala,7781407290315,Level 01 > 108D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),09/08/2014,None,Open,Clean edge,,,None,0.00
La Scala,7781407292682,Level 04 > 401D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),08/08/2014,None,Open,Scratched on drawers- check all,,,None,0.00
La Scala,7781407302099,Level 01 > 103D > Living,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Dint below TV point ,,,None,0.00
La Scala,7781407302536,Level 01 > 103D > Balcony,06/08/2014,kreardon,Incomplete Works,Builder,NA,14/08/2014,None,Open,Hide timber,,,None,0.00
La Scala,7781407302799,Level 01 > 103D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Wax mitre on skirt join,,,None,0.00
La Scala,7781407304886,Level 02 > 205D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,NA,21/08/2014,None,Open,Scratch on dishwasher,,,None,0.00
La Scala,7781407304929,Level 02 > 205D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Bottom drawer catching,,,None,0.00
La Scala,7781407304981,Level 02 > 205D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,NA,09/08/2014,None,Open,Handle to shower screen,,,None,0.00
La Scala,7781407305188,Level 02 > 205D > Bedroom 1 > Ensuite,06/08/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),09/08/2014,None,Open,Shower head,,,None,0.00
La Scala,7781407305308,Level 02 > 205D > Bedroom 1 > Ensuite,06/08/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),09/08/2014,None,Open,Shower missing,,,None,0.00
La Scala,7781407366343,Level 05 > 504D > Bedroom 1 > Ensuite,07/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),12/08/2014,None,Open,Paint ensuite door frame,,,None,0.00
La Scala,7781407366521,Level 05 > 504D > Bedroom 1 > Ensuite,07/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),11/08/2014,None,Open,Clean pencil marks on wall of ensuite,,,None,0.00
La Scala,7781407373776,Ground > 9D > Kitchen,07/08/2014,kreardon,Incomplete Works,Builder,NA,11/08/2014,None,Open,New switchboard cover,,,None,0.00
La Scala,7781407376767,Level 02 > 206D > Bedroom 1 > Ensuite,07/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),14/08/2014,None,Open,Adjust drawers ,,,None,0.00
La Scala,7781407376833,Level 02 > 206D > Bedroom 1 > Ensuite,07/08/2014,kreardon,Incomplete Works,Builder,NA,11/08/2014,None,Open,"Caulking to stone, mirror and basin",,,None,0.00
La Scala,7781407377666,Level 02 > 206D > Kitchen,07/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),11/08/2014,None,Open,Pantry shelf missing,,,None,0.00
La Scala,7781407460471,Level 01 > 111D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),13/08/2014,None,Open,Soft closer,,,None,0.00
La Scala,7781407461509,Level 01,08/08/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),13/08/2014,None,Open,Door not locking living apt112,,,None,0.00
La Scala,7781407468023,Level 01 > 115D > Bathroom,08/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),13/08/2014,None,Open,Adjust drawers,,,None,0.00
La Scala,7781407468054,Level 01 > 115D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,Nemo (Paul),13/08/2014,None,Open,"Skirt short, also missing between fridge panel and entry door",,,None,0.00
La Scala,7781407470740,Level 01 > 106D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),13/08/2014,None,Open,"Chip in overhead beside pantry , top drawer front edge",,,None,0.00
La Scala,7781407470810,Level 01 > 106D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),13/08/2014,None,Open,Clean glue on bottom edge of stone in front of sink,,,None,0.00
La Scala,7781407474562,Ground > 13D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),13/08/2014,None,Open,Adjust drawers,,,None,0.00
La Scala,7781407474642,Ground > 13D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),13/08/2014,None,Open,Caulk sink to stone junction,,,None,0.00
La Scala,7781407474912,Ground > 13D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),13/08/2014,None,Open,"Replace end panel, chipped",,,None,0.00
La Scala,7781407475368,Ground > 13D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,Nemo (Paul),13/08/2014,None,Open,Split in skirt at front of pantry,,,None,0.00
La Scala,7781407477289,Ground > 8D > Kitchen,08/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),13/08/2014,None,Open,Adjust drawers,,,None,0.00
La Scala,7781407802905,Level 02 > 202D > Kitchen,12/08/2014,billb,Incomplete Works,Builder,Protect Fire Systems (Steve Butterworth),16/08/2014,None,Open,Cover,,,None,0.00
La Scala,7781407803635,Level 03 > 301D > Balcony,12/08/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),16/08/2014,None,Open,Tiles not level/ wobbly,,,None,0.00
La Scala,7781407803774,Level 03 > 301D > Bathroom,12/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),16/08/2014,None,Open,Shelves missing in shaving cabinet,,,None,0.00
La Scala,7781407804016,Level 03 > 301D > Bedroom 1,12/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Ensuite door frame sand and paint,,,None,0.00
La Scala,7781407804046,Level 03 > 301D > Bedroom 1,12/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Paint patch,,,None,0.00
La Scala,7781407804132,Level 03 > 301D > Laundry,12/08/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),16/08/2014,None,Open,Handle on hws,,,None,0.00
La Scala,7781407804750,Level 03 > 301D > Living,12/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Sand and paint skirt in hall,,,None,0.00
La Scala,7781407804796,Level 03 > 301D > Bedroom 1 > Ensuite,12/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),16/08/2014,None,Open,Adjust drawer,,,None,0.00
La Scala,7781407804885,Level 03 > 301D > Living,12/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Sand and paint in living,,,None,0.00
La Scala,7781407805118,Level 03 > 301D > Living,12/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Paint inside entry door,,,None,0.00
La Scala,7781407805351,Level 03 > 301D > Study,12/08/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),16/08/2014,None,Open,"Daylight seen through louvre frame to window frame junction - top peice of glass

also daylight seen through window frame on edge in bedroom to north-west corner",,,None,0.00
La Scala,7781407805637,Level 03 > 301D > Living,12/08/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),16/08/2014,None,Open,Caulk entry glass,,,None,0.00
La Scala,7781407816717,Level 02 > 208D > Kitchen,12/08/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover) > ABD Group (Mick S),16/08/2014 > 16/08/2014,None > None,Open > Open,Dishwasher damaged and kicker missing,,,None,0.00
La Scala,7781407816841,Level 02 > 208D > Kitchen,12/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),16/08/2014,None,Open,Soft closer above fridge,,,None,0.00
La Scala,7781407816962,Level 02 > 208D > Bedroom 1 > Ensuite,12/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Re paint  ensuite door frame,,,None,0.00
La Scala,7781407975110,Ground > 2D > Bedroom,14/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),20/08/2014,None,Open,Clean ,,,None,0.00
La Scala,7781407975808,Ground > 2D > Bedroom,14/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),20/08/2014,None,Open,Patch and paint,,,None,0.00
La Scala,7781407975973,Ground > 2D > Kitchen,14/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),20/08/2014,None,Open,Soft closers missing throughout,,,None,0.00
La Scala,7781407983326,Ground > 15D > Kitchen,14/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),20/08/2014,None,Open,Soft closers missing throughout kitchen,,,None,0.00
La Scala,7781407998059,Level 02 > 207D > Bedroom 2,14/08/2014,billb,Defect,Builder,DPS (Bruce),19/08/2014,None,Open,Fix join down in wardrobe shelf,,,None,0.00
La Scala,7781408137771,Level 02 > 204D > Bedroom 1 > Ensuite,16/08/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),22/08/2014,None,Open,Re install shower screen,,,None,0.00
