Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,7781395884012,Level 02 > Common Areas (Copy 1) > Corridor,27/03/2014,kreardon,Defect,Builder,Rising Star (Alan) (Alan),26/04/2014,None,Open,Plaster,,,None,0.00
La Scala,7781404870652,Level 03 > 304D > Balcony,09/07/2014,kreardon,Incomplete Works,Builder,Coldlfow (Kenneth Chan),12/07/2014,None,Open,Condenser not installed,,,None,0.00
La Scala,7781404870797,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),10/07/2014,None,Open,Patch screw holes next rail and touch up,,,None,0.00
La Scala,7781404870850,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),11/07/2014,None,Open,Stone missing,,,None,0.00
La Scala,7781404870904,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),06/08/2014,None,Open,"Basin, tap not install due to stone",,,None,0.00
La Scala,7781404870932,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,NA,10/07/2014,None,Open,Mirror not installed,,,None,0.00
La Scala,7781404870966,Level 03 > 304D > Bedroom 1 > Ensuite,09/07/2014,kreardon,Incomplete Works,Builder,NA,10/07/2014,None,Open,Caulking to tiles missing,,,None,0.00
La Scala,7781404871036,Level 03 > 304D > Bedroom 1,09/07/2014,kreardon,Incomplete Works,Builder,Nemo (Paul),10/07/2014,None,Open,Handle missing to door,,,None,0.00
La Scala,7781404871188,Level 03 > 304D > Living,09/07/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),10/07/2014,None,Open,Paint required to plaster bulk head next to window,,,None,0.00
La Scala,7781404871366,Level 03 > 304D > Laundry,09/07/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),10/07/2014,None,Open,Make good damaged plaster,,,None,0.00
La Scala,7781404871386,Level 03 > 304D > Laundry,09/07/2014,kreardon,Incomplete Works,Builder,NA,10/07/2014,None,Open,Doors missing,,,None,0.00
La Scala,7781404871446,Level 03 > 304D > Laundry,09/07/2014,kreardon,Incomplete Works,Builder,NA,10/07/2014,None,Open,Touch up ,,,None,0.00
La Scala,7781404871483,Level 03 > 304D > Laundry,09/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),10/07/2014,None,Open,Skirting missing,,,None,0.00
La Scala,7781404871523,Level 03 > 304D > Kitchen,09/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),10/07/2014,None,Open,Splash back missing,,,None,0.00
La Scala,7781404871577,Level 03 > 304D > Kitchen,09/07/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),10/07/2014,None,Open,Cook top not installed,,,None,0.00
La Scala,7781404882512,Level 03 > 304D > Kitchen,09/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),10/07/2014,None,Open,Make good tiles,,,None,0.00
La Scala,7781404882660,Level 03 > 304D > Bathroom,09/07/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),14/07/2014,None,Open,Joinery different to plans unable to install rail,,,None,0.00
La Scala,7781404882682,Level 03 > 304D > Bathroom,09/07/2014,kreardon,Incomplete Works,Builder,NA,11/07/2014,None,Open,Stone missing,,,None,0.00
La Scala,7781404882708,Level 03 > 304D > Bathroom,09/07/2014,kreardon,Incomplete Works,Builder,NA,14/07/2014,None,Open,Caulking missing,,,None,0.00
La Scala,7781404951410,Level 03,10/07/2014,kreardon,Incomplete Works,Builder,Nemo (Paul),11/07/2014,None,Open,Entry door not installed,,,None,0.00
La Scala,7781404957023,Level 04 > 403D,10/07/2014,kreardon,Incomplete Works,Builder,Coldlfow (Kenneth Chan),11/07/2014,None,Open,Condenser not fitted off,,,None,0.00
La Scala,7781404957104,Level 04 > 403D,10/07/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),10/07/2014,None,Open,Swing door bottom seal missing,,,None,0.00
La Scala,7781404957161,Level 04 > 403D,10/07/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),11/07/2014,None,Open,Cut back paper to rendered wall,,,None,0.00
La Scala,7781404958439,Level 04 > 403D > Living,10/07/2014,kreardon,Incomplete Works,Builder,Naim Caulker (Naim),11/07/2014,None,Open,Caulking to windows,,,None,0.00
La Scala,7781404958488,Level 04 > 403D > Living,10/07/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),10/07/2014,None,Open,Touch ups to ceiling,,,None,0.00
La Scala,7781404958550,Level 04 > 403D > Kitchen,10/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),11/07/2014,None,Open,Stone missing,,,None,0.00
La Scala,7781404958582,Level 04 > 403D > Kitchen,10/07/2014,kreardon,Incomplete Works,Builder,NA,11/07/2014,None,Open,Make good tiles,,,None,0.00
La Scala,7781404958672,Level 04 > 403D,10/07/2014,kreardon,Incomplete Works,Builder,Nemo (Paul),10/07/2014,None,Open,Closer missing and lock front door,,,None,0.00
La Scala,7781404970080,Level 04 > 403D > Bedroom 1 > Ensuite,10/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),12/07/2014,None,Open,Stone not installed,,,None,0.00
La Scala,7781405051668,Ground,11/07/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),14/07/2014,None,Open,Door signage required to floor,,,None,0.00
La Scala,7781405126273,Ground,12/07/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),14/07/2014,None,Open,Clean and caulk all tile trim junctions,,,None,0.00
La Scala,7781405126402,Ground,12/07/2014,kreardon,Incomplete Works,Builder,NA,14/07/2014,None,Open,All joinery infills to dishwasher missing and adjust doors ,,,None,0.00
La Scala,7781405207886,Level 03,13/07/2014,kreardon,Incomplete Works,Builder,Aluline (Baci) (Baci),15/07/2014,None,Open,Gap greater than 125mm install shs to close gap,,,None,0.00
La Scala,7781405217278,Ground,13/07/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),14/07/2014,None,Open,Clean all render for balcony a/c drain and down pipe,,,None,0.00
La Scala,7781405284623,Ground,14/07/2014,kreardon,Incomplete Works,Builder,Nemo (Paul),15/07/2014,None,Open,Entry lock not working 10d,,,None,0.00
La Scala,7781407284179,Level 03 > 303D > Living,06/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),08/08/2014,None,Open,Stain in carpet,,,None,0.00
La Scala,7781407284218,Level 03 > 303D > Living,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),08/08/2014,None,Open,Chip in skirting,,,None,0.00
La Scala,7781407284387,Level 03 > 303D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),08/08/2014,None,Open,Touch up jamb,,,None,0.00
La Scala,7781407284467,Level 03 > 303D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),08/08/2014,None,Open,Clean tiles ,,,None,0.00
La Scala,7781407284604,Level 03 > 303D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),08/08/2014,None,Open,Touch up paint on skirt,,,None,0.00
La Scala,7781407284817,Level 03 > 303D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Scratch on kitchen pantry,,,None,0.00
La Scala,7781407285014,Level 03 > 303D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),08/08/2014,None,Open,Clean entry jamb,,,None,0.00
La Scala,7781407286718,Level 02 > 204D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Adjust drawers,,,None,0.00
La Scala,7781407286813,Level 02 > 204D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Baron Forge (tiler) (Scott Kidd),09/08/2014,None,Open,Caulk,,,None,0.00
La Scala,7781407287018,Level 02 > 204D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),08/08/2014,None,Open,Adjust range hood,,,None,0.00
La Scala,7781407287316,Level 02 > 204D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),08/08/2014,None,Open,Window adjust,,,None,0.00
La Scala,7781407289097,Level 01 > 108D > Balcony,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),08/08/2014,None,Open,Render patch,,,None,0.00
La Scala,7781407289172,Level 01 > 108D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),08/08/2014,None,Open,Water not draining,,,None,0.00
La Scala,7781407289446,Level 01 > 108D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric) > Coldlfow (Kenneth Chan),12/08/2014 > 08/08/2014,None > None,Open > Open,Touch up/ cut back,,,None,0.00
La Scala,7781407289446,Level 01 > 108D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric) > Coldlfow (Kenneth Chan),12/08/2014 > 08/08/2014,None > None,Open > Open,Touch up/ cut back,,,None,0.00
La Scala,7781407289533,Level 01 > 108D > Bedroom 2,06/08/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan) > Valley Constructions (Eric) (Eric),11/08/2014 > 08/08/2014,None > None,Open > Open,Patch and paint,,,None,0.00
La Scala,7781407289533,Level 01 > 108D > Bedroom 2,06/08/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan) > Valley Constructions (Eric) (Eric),11/08/2014 > 08/08/2014,None > None,Open > Open,Patch and paint,,,None,0.00
La Scala,7781407290315,Level 01 > 108D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,ABD Group (Mick S),09/08/2014,None,Open,Clean edge,,,None,0.00
La Scala,7781407292682,Level 04 > 401D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),08/08/2014,None,Open,Scratched on drawers- check all,,,None,0.00
La Scala,7781407301665,Level 01 > 103D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,NA,09/08/2014,None,Open,Adjust seal,,,None,0.00
La Scala,7781407301701,Level 01 > 103D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),09/08/2014,None,Open,Clean angle ,,,None,0.00
La Scala,7781407301742,Level 01 > 103D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan) > Valley Constructions (Eric) (Eric),13/08/2014 > 08/08/2014,None > None,Open > Open,Patch around pipe,,,None,0.00
La Scala,7781407301742,Level 01 > 103D > Bathroom,06/08/2014,kreardon,Incomplete Works,Builder,Rising Star (Alan) (Alan) > Valley Constructions (Eric) (Eric),13/08/2014 > 08/08/2014,None > None,Open > Open,Patch around pipe,,,None,0.00
La Scala,7781407301960,Level 01 > 103D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),12/08/2014,None,Open,Clean pantry panel,,,None,0.00
La Scala,7781407302099,Level 01 > 103D > Living,06/08/2014,kreardon,Incomplete Works,Builder,Valley Constructions (Eric) (Eric),16/08/2014,None,Open,Dint below TV point ,,,None,0.00
La Scala,7781407302225,Level 01 > 103D > Bedroom,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Hanging rail,,,None,0.00
La Scala,7781407302295,Level 01 > 103D > Balcony,06/08/2014,kreardon,Incomplete Works,Builder,Coldlfow (Kenneth Chan),08/08/2014,None,Open,Cut overflow back,,,None,0.00
La Scala,7781407302466,Level 01 > 103D > Balcony,06/08/2014,kreardon,Incomplete Works,Builder,Oscan Windows (Dean) (Dean),11/08/2014,None,Open,Detail on corner,,,None,0.00
La Scala,7781407302536,Level 01 > 103D > Balcony,06/08/2014,kreardon,Incomplete Works,Builder,NA,14/08/2014,None,Open,Hide timber,,,None,0.00
La Scala,7781407302683,Level 01 > 103D > Living,06/08/2014,kreardon,Incomplete Works,Builder,Dynamite Cleaning (DC),09/08/2014,None,Open,Clean carpet ,,,None,0.00
La Scala,7781407302720,Level 01 > 103D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,Trio Plumbing Australia (Trevor Hanover),09/08/2014,None,Open,Cover cut out as seen for waste,,,None,0.00
La Scala,7781407302799,Level 01 > 103D > Kitchen,06/08/2014,kreardon,Incomplete Works,Builder,DPS (Bruce),09/08/2014,None,Open,Wax mitre on skirt join,,,None,0.00
