Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Maintenance & Warranty,7639,2A HIGH STREET NORTHCOTE > 2A High St Northcote > Unit 08,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Balcony leak through floor tiles,leak has reappeared from balcony leaking into bedroom ,,None,0.00
Maintenance & Warranty,7640,2A HIGH STREET NORTHCOTE > 2A High St Northcote > Unit 06,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Balcony leak. Water is entering the ceiling cavity of Master bedroom wardrobe (2nd Floor). Water is coming from 3rd floor balcony ,,,None,0.00
Maintenance & Warranty,7641,2A HIGH STREET NORTHCOTE > 2A High St Northcote > Unit 02,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Window in main bedroom ensuite above shower leaking from ceiling,Leak has been repaired remaining is ceiling to be painted and tiles to be reinstated  ,,None,0.00
Maintenance & Warranty,7642,20 ALBERT STREET BRUNSWICK > 20 Albert St Brunswick > Unit 03,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,leak can be found coming from upper floor bathroom leaking into kitchen ceiling ,had pipes pressure tested and sealed mixer tape in shower leak still present need to re seal shower base waiting on tenant for a available time to accesses the unit    ,,None,0.00
Maintenance & Warranty,7647,BANBURY VILLAGE > Banbury Place Heritage Building C > TH06,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Unfinished works not complete. Refer to client. Squeaky floor.,squeaky floor has not been fixed have emailed owner for time to access unit  ,,None,0.00
Maintenance & Warranty,7661,LA SCALA > La Scala Building C > Apt 101,26/12/2013,msartorello,Warranty,Client,ABD Group,01/02/2014,None,Open,window has water leak and plaster and carpet gone mouldy,Waiting on booking ,,None,0.00
Maintenance & Warranty,7666,LA SCALA > La Scala Building E > Apt 302,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Balcony tiles have lifted,,,None,0.00
Maintenance & Warranty,7667,LA SCALA > La Scala Building E > Apt 6E,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Balcony tiles have lifted ,,,None,0.00
Maintenance & Warranty,7671,LA SCALA > La Scala Town House 16 > Town House 16,26/12/2013,frosselli,Warranty,Purchaser,ABD Group,01/02/2014,None,Open,Water leak to ceiling to bedroom wardrobe ,,,None,0.00
Maintenance & Warranty,7675,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 306 Stage 2,26/12/2013,msartorello,Warranty,Builder,ABD Group,01/02/2014,None,Open,Water leak in apartment. Skirts have been damaged from the water and require replacement and carpet needs replacing plus vanity kickers need to be re instated ,Water leak is fixed walls and skirting have been repaired and painted and vanity kickers are installed. Have sample of carpet awaiting on colour match and install date ,,None,0.00
Maintenance & Warranty,7686,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt G5 Stage 2,26/12/2013,msartorello,Warranty,Builder,ABD Group,01/02/2014,None,Open,Water leaking through balcony slab ,Inspection has been carried out need water proof from under side of balcony awaiting on booking date to complete works ,,None,0.00
Maintenance & Warranty,7723,LOT 87 - MCGREGORS DRIVE KEILOR PARK > Lot 87 McGregors Drive Keilor Park > Energetics,26/12/2013,msartorello,Warranty,Builder,ABD Group,01/02/2014,None,Open,Rear panel is opening up ,Will get apex to make and install metal plates to stop panels opening further ,,None,0.00
Maintenance & Warranty,7730,33 CUMBERLAND DRIVE MARIBYRNONG > Cumberland Drive > Common Area,26/12/2013,msartorello,Warranty,Client,ABD Group,01/02/2014,None,Open,The western windows on the top floor leak when it rains,jimmy has organized once boom is there to replace rusting mesh will fix water leak off the same boom ,,None,0.00
Maintenance & Warranty,7731,35 JETTY LANE MARIBYRNONG > Jetty Lane > Common Area,26/12/2013,msartorello,Warranty,Builder,ABD Group,01/02/2014,None,Open,Ground floor carpark has a leak in the center of the space,,,None,0.00
Maintenance & Warranty,7733,35 JETTY LANE MARIBYRNONG > Jetty Lane > Common Area,26/12/2013,msartorello,Warranty,Client,ABD Group,07/05/2014,None,Open,Balcony mesh rusting. Needs to be fixed,jimmy has organized mesh to be replaced with glass,,None,0.00
Maintenance & Warranty,7761,LA SCALA > La Scala Building C > Apt 107,20/11/2013,msartorello,Warranty,Purchaser,ABD,06/02/2014,None,Open,Water leak from gutter above staining tiles. Rust colour coming from base of windows,Rust gone need to replace 4 tiles that where stained by rust ,,None,0.00
Maintenance & Warranty,7771,LA SCALA > La Scala Building E,19/12/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Black Facade Panel missing from building corner (up top). Refer email and images,,,None,0.00
Maintenance & Warranty,7774,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 306 Stage 2,02/07/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak coming from Balcony and leaking into bedroom have tryed to get acsses to Apt they have not reported that leak is still leaking but still need to go back paint,,,None,0.00
Maintenance & Warranty,7775,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 310,10/12/2013,msartorello,Warranty,Client,ABD,12/11/2013,None,Open,Water leak in apartment. Skirts have been damaged from the water and require replacement,,,None,0.00
Maintenance & Warranty,7776,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt G3,10/12/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,"Water leaking pipe over car space in carpark, leaking onto car roof. Intercom not working.",,,None,0.00
Maintenance & Warranty,7777,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 102 Stage 1,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak to apartment ceiling,,,None,0.00
Maintenance & Warranty,7778,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 104 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water Leak through window - condensation check,,,None,0.00
Maintenance & Warranty,7779,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 208 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak over kitchen window,,,None,0.00
Maintenance & Warranty,7780,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 401 Stage 1,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak over bathroom ceiling,,,None,0.00
Maintenance & Warranty,7781,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 206 Stage 2,16/01/2014,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Recurring water leak. Water marks found in the ceiling.,,,None,0.00
Maintenance & Warranty,7782,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 207 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Leaks showing up any many areas Leaks could be from Balcony 215 over balustrade,,,None,0.00
Maintenance & Warranty,7783,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 208 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Leak Showing up in bedrooms seems to be coming from balconies above,,,None,0.00
Maintenance & Warranty,7784,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 309 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Roof is aparentely leaking - to be inspected (Went back with lou on the 14/12 confimred leaks),,,None,0.00
Maintenance & Warranty,7785,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt G5 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,16/12/2013,None,Open,"Crack to balcony soffit with efflorescence, water leak in shower screen",,,None,0.00
Maintenance & Warranty,7786,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt G10 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,"Balcony power point needs fixing (if not installed, one must be)",,,None,0.00
Maintenance & Warranty,7787,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 104 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Mould located around windows,,,None,0.00
Maintenance & Warranty,7788,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 105 Stage 2,10/12/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Report of mould and dampness. Inspection required,,,None,0.00
Maintenance & Warranty,7789,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 114 Stage 2,10/12/2013,msartorello,Warranty,Client,ABD,16/12/2013,None,Open,"Report of mould and dampness. Inspection required.  TD FOUND water entering from subseal, water entering from slab and panel, water entering top of window seal through blind clips. Carpet need replacing and painting required",,,None,0.00
Maintenance & Warranty,7790,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 312 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Roof consitantley makes noises (movements),,,None,0.00
Maintenance & Warranty,7791,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Common Area,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,"HWS circulation pump inappropriate (greg salter to advise) Front signage to be installed. Wall outside 304 & 301 needs painting. Lower carpark lobby wall, adjacent to lift needs paint. Stage 2 entrance pipe missing and needs paint",,,None,0.00
Maintenance & Warranty,7792,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt G12,15/01/2014,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Light in study nook is not working,,,None,0.00
Maintenance & Warranty,7834,LA SCALA > La Scala Town House 10 > Town House 10,30/10/2013,msartorello,Warranty,Purchaser,ABD,06/02/2014,None,Open,Barthroom door jamb right hand side has water damage to bottom thay once was a leak and now has been fixed door jamb needs sanding and painting,,,None,0.00
Maintenance & Warranty,7835,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 306 Stage 2,02/07/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak coming from Balcony and leaking into bedroom have tryed to get acsses to Apt they have not reported that leak is still leaking but still need to go back paint,,,None,0.00
Maintenance & Warranty,7836,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 310,10/12/2013,msartorello,Warranty,Client,ABD,12/11/2013,None,Open,Water leak in apartment. Skirts have been damaged from the water and require replacement,,,None,0.00
Maintenance & Warranty,7837,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt G3,10/12/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,"Water leaking pipe over car space in carpark, leaking onto car roof. Intercom not working.",,,None,0.00
Maintenance & Warranty,7838,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 102 Stage 1,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak to apartment ceiling,,,None,0.00
Maintenance & Warranty,7839,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 104 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water Leak through window - condensation check,,,None,0.00
Maintenance & Warranty,7840,BERKELEY TOWERS - DONCASTER > Berkeley Towers > Apt 208 Stage 2,22/11/2013,msartorello,Warranty,Client,ABD,06/02/2014,None,Open,Water leak over kitchen window,,,None,0.00
