Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Zano,9221426551634,Building > Level 01 > Apartments > 109 > Balcony,17/03/2015,rconti,Incomplete Works,Builder,Progap (Robert Giangrave),21/03/2015,None,Closed,Precast - patching required,,,None,0.00
Zano,9221426641824,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,rconti,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Closed,Kitchen - draws supplied - insufficient gap between draw panels to fit handle sets,,,None,0.00
Zano,9221426642031,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,bphillips,Defect,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Closed,Kitchen - lack of finished tupac painted surface protection. No felt or styrofoam packing inserted caused scratch marks to painted surface,"Belinda close out queens dream no longer, 2pac defects to be done in apartments",,None,0.00
Zano,9221426642162,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,bphillips,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Closed,Kitchen - paint chipped at corners of draw.,Close out queens dream no longer on project,,None,0.00
Zano,9221426642373,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,bphillips,Defect,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Closed,Kitchen - tupac paint over-roll to edges. excessive paint coating defect,Close out queens dream no longer on project,,None,0.00
Zano,9221426642521,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,bphillips,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Closed,Kitchen- front panel missing and back support plate not screwed in place (fixed 1 side only),Queens dream no longer on project,,None,0.00
Zano,9221426642670,Building > Level 01 > Apartments > 104 > Kitchen,18/03/2015,bphillips,Issue,Builder,Queens Dream Joinery (Lili Cai),11/04/2015,None,Closed,Kitchen - cabinet surface scratched from lack of felt or styrofoam packing media installed,Close out queens dream no longer on project,,None,0.00
Zano,10041426549610,Building > Ground > Residential > Lobby > Lift Lobby > Stair,17/03/2015,bphillips,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Closed,Concrete - Scabbling Not performed,,,None,0.00
Zano,10041426549863,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Closed,"Concrete - Scabbling Not performed, patch required",,,None,0.00
Zano,10041426549983,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,Progap (Robert Giangrave),25/03/2015,None,Closed,Concrete - sand and finish,,,None,0.00
Zano,10041426550130,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Closed,Concrete - Scabbling Not performed,,,None,0.00
Zano,10041426550276,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,Aardvark (Kevan),25/03/2015,None,Closed,"Communication Services - NBN, conduit not connected",,,None,0.00
Zano,10041426550440,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,United Precast Supply (Gabriel Zampierollo),27/03/2015,None,Closed,Precast Panel - lift opening check out required,,,None,0.00
Zano,10041426550587,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,ABD Group (Chris Baker),17/03/2015,None,Open,Concrete - patching required,,,None,0.00
Zano,10041426550724,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,Burelli Roofing (Mark),25/03/2015,None,Closed,Chalking required to flashing,,,None,0.00
Zano,10041426550919,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Builder,Burelli Roofing (Mark),25/03/2015,None,Closed,Sharp edges to flashings to be flattened off,,,None,0.00
Zano,10041426551055,Building > Level 01 > Common Areas > Passage,17/03/2015,jderbyshire,Incomplete Works,Sub Contractor,United Precast Supply (Gabriel Zampierollo),25/03/2015,None,Closed,"Precast Panel - Cracking visible, patching required - United",,,None,0.00
Zano,10041426551360,Building > Level 01 > Apartments > 109 > Balcony,17/03/2015,jderbyshire,Incomplete Works,Builder,Progap (Robert Giangrave),25/03/2015,None,Closed,Precast Panel - chalking required to top of panels L1. Progap,,,None,0.00
Zano,10041426551541,Building > Level 02 > Apartments > 208 > Balcony,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Closed,Patch pre-cast/slab joint. ,,,None,0.00
Zano,10041426551719,Building > Level 01 > Apartments > 108 > Balcony,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Closed,Patch pre-cast panel,,,None,0.00
Zano,10041426552081,Building > Level 01 > Apartments > 110 > Balcony,17/03/2015,jderbyshire,Incomplete Works,Builder,REDS Concreting (Darren Still),25/03/2015,None,Closed,Concrete - Slab To be ground Apt 111,,,None,0.00
Zano,10041426552303,Building > Level 01 > Apartments > 112 > Living,17/03/2015,jderbyshire,Defect,Builder,XPRO Constructions Pty Ltd. (Ivan Delic),25/03/2015,None,Closed,Plaster - Wall not plum. ,,,None,0.00
Zano,10041426552736,Building > Level 01 > Apartments > 113 > Bedroom 02,17/03/2015,jderbyshire,Defect,Builder,ABD Group (Chris Baker),25/03/2015,None,Closed,Patch floor in corner - ABD,,,None,0.00
Zano,10041427232098,Building > Level 03 > Apartments > 303 > Balcony,25/03/2015,jderbyshire,Defect,Sub Contractor,United Precast Supply (Gabriel Zampierollo),02/04/2015,None,Closed,Patch pre-cast,,,None,0.00
Zano,10041427232384,Building > Level 03 > Apartments > 303 > Balcony,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Fill and patch pre-cast,,,None,0.00
Zano,10041427232543,Building > Level 03 > Apartments > 303 > Balcony,25/03/2015,jderbyshire,Defect,Builder,REDS Concreting (Darren Still),02/04/2015,None,Closed,Scrape concrete,,,None,0.00
Zano,10041427232684,Building > Level 03 > Apartments > 303 > Balcony,25/03/2015,jderbyshire,Defect,Builder,REDS Concreting (Darren Still),02/04/2015,None,Closed,Patch underside of stair landing,,,None,0.00
Zano,10041427232914,Building > Level 04 > Common Areas > Lobby > Stair,25/03/2015,jderbyshire,Defect,Builder,REDS Concreting (Darren Still),02/04/2015,None,Closed,Scape and remove nails to stair landing,,,None,0.00
Zano,10041427233225,Building > Level 04 > Apartments > 409 > Living,25/03/2015,jderbyshire,Defect,Sub Contractor,United Precast Supply (Gabriel Zampierollo),02/04/2015,None,Closed,Patch pre-cast corner,,,None,0.00
Zano,10041427233564,Building > Level 04 > Apartments > 409 > Living,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Dry pack under slab,,,None,0.00
Zano,10041427233689,Building > Level 05 > Common Areas > Lobby > Stair,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Scrape concrete off stair,,,None,0.00
Zano,10041427233949,Building > Level 05 > Apartments > 501 > Balcony,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Patch grout tubes,,,None,0.00
Zano,10041427234636,Building > Level 04 > Common Areas > Lobby > Stair,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Scape concrete off floor,,,None,0.00
Zano,10041427234885,Building > Level 03 > Common Areas > Lobby > Lift Lobby,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Scrape concrete off floor,,,None,0.00
Zano,10041427235574,Building > Level 02 > Apartments > 210 > Balcony,25/03/2015,jderbyshire,Defect,Sub Contractor,United Precast Supply (Gabriel Zampierollo),02/04/2015,None,Closed,Patch cracked pre-cast,,,None,0.00
Zano,10041427235706,Building > Level 01 > Apartments > 109 > Balcony,25/03/2015,jderbyshire,Defect,Builder,Progap (Robert Giangrave),02/04/2015,None,Closed,Chalk top of pre-cast,,,None,0.00
Zano,10141428637028,Building > Ground > Elec Meter,10/04/2015,rconti,Defect,Builder,ABD Group (Chris Baker),11/04/2015,None,Closed,Test,,,None,0.00
Zano,10141430439457,Building > Ground,01/05/2015,rconti,Defect,Builder,Sagecon Pty Ltd (Anthony Santoro),09/05/2015,None,Closed,Services - Ductwork required,,,None,0.00
Zano,10141430440235,Building > Level 01 > Apartments > 101 > Kitchen,01/05/2015,rconti,Incomplete Works,Builder,ABD Group (Chris Baker),13/05/2015,None,Closed,Kitchen - shadow line fill section to be install,Re Assigned to ABD Queens Dream No Longer engaged on Project,,None,0.00
Zano,10561436138750,Building,06/07/2015,vincec,Defect,Builder,Finadri Windows (John Wighton),09/07/2015,None,Closed,Apt 503 sliding door Window - Not sealed properly. Packers to be cut flush with window frame and re caulked,,,None,0.00
Zano,10561436139205,Building > Level 05 > Apartments > 503 > Bedroom 01,06/07/2015,vincec,Defect,Builder,Finadri Windows (John Wighton),14/07/2015,None,Closed,Window leak,,,None,0.00
Zano,10561436509505,Building > Level 05 > Apartments > 503 > Balcony,10/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,PVC Window frames - Not sealed correctly - packers to be cut back flush to window frame and re-caulk both inside and outside to achieve a water tight finish. ,,,None,0.00
Zano,10561436511817,Building > Level 05 > Apartments > 504 > Balcony,10/07/2015,vincec,Defect,Builder,Finadri Windows (John Wighton),14/07/2015,None,Closed,Apt 504 sliding door Window - Not sealed properly. Packers to be cut flush with window frame and re caulked inside and outside,,,None,0.00
Zano,10561436512062,Building > Level 05 > Apartments > 505 > Living,10/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),14/07/2015,None,Closed,Apt 505 sliding door Window - Not sealed properly. Packers to be cut flush with window frame and re caulked to inside and outside of frame,,,None,0.00
Zano,10561436512800,Building > Level 05 > Apartments > 505 > Balcony,10/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),14/07/2015,None,Closed,Caulk and patch open screw holes to pvc window frames,,,None,0.00
Zano,10561436571970,Building > Level 05 > Apartments > 503 > Bedroom 01 > Ens,11/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,Caulk and patch open screw holes to pvc window frames and clean weep holes of debris,,,None,0.00
Zano,10561436572110,Building > Level 05 > Apartments > 502 > Bedroom 01,11/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,Window - Missing / Damaged,,,None,0.00
Zano,10561436573114,Building > Level 04 > Apartments > 402 > Balcony,11/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,Window - Missing / Damaged - spandrel glass missing,,,None,0.00
Zano,10561436576613,Building > Level 04 > Apartments > 408 > Balcony,11/07/2015,vincec,Defect,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,Aluminium hob - joint not sealed correctly. Water leaking through opening,,,None,0.00
Zano,10561436577241,Building > Level 03 > Apartments > 307 > Bedroom 02,11/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,Window - Missing / Damaged,,,None,0.00
Zano,10561436578050,Facade > Level 03 > East Facing,11/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,No caulking to glass in window 308/W02. Caulking to be completed to ensure no water leaks to apartment,,,None,0.00
Zano,10561436578286,Building > Level 03 > Apartments > 308 > Bedroom 01,11/07/2015,vincec,Incomplete Works,Builder,Finadri Windows (John Wighton),14/07/2015,None,Closed,Aluminium hob not sealed correctly and no caulk between hob joint. Needs to be caulked to ensure no water leaks into apartment ASAP,,,None,0.00
Zano,10561436578500,Building > Level 03 > Apartments > 308 > Bedroom 02,11/07/2015,vincec,Defect,Builder,Finadri Windows (John Wighton),15/07/2015,None,Closed,Aluminium hob leaking between hob joint in bedroom. To be rectified and sealed to stop water leaking into bedroom,,,None,0.00
Zano,10561437521616,Building > Ground > Substation,22/07/2015,vincec,Incomplete Works,Builder,ABD Group (Chris Baker),27/07/2015,None,Closed,Blockwork - incomplete caulking,,,None,0.00
Zano,10561437526964,Building > Ground,22/07/2015,vincec,Defect,Builder,ABD Group (Chris Baker),27/07/2015,None,Closed,Blockwork - incomplete caulking ,,,None,0.00
Zano,10561437527037,Building > Ground,22/07/2015,vincec,Defect,Builder,Progap (Robert Giangrave),27/07/2015,None,Closed,Precast Panel - patching incomplete,,,None,0.00
Zano,10561437527910,Building > Level 01 > Apartments > 101 > Kitchen,22/07/2015,vincec,Incomplete Works,Builder,Sagecon Pty Ltd (Anthony Santoro),27/07/2015,None,Closed,Mechanical - Incomplete Fit-off rangehood to be installed,,,None,0.00
Zano,10561437529978,Building > Level 01 > Apartments > 103 > Kitchen,22/07/2015,vincec,Defect,Builder,CNC Pro (Sam Emini),24/07/2015,None,Closed,Joinery - cut down carcass for dishwasher to fit,,,None,0.00
Zano,10561437530055,Building > Level 01 > Apartments > 103 > Kitchen,22/07/2015,vincec,Defect,Builder,CNC Pro (Sam Emini),24/07/2015,None,Closed,Joinery - larger carcass cut out in order for rangehood to fit,,,None,0.00
Zano,10561437530515,Building > Level 01 > Apartments > 103 > Bath,22/07/2015,vincec,Defect,Builder,CNC Pro (Sam Emini),24/07/2015,None,Closed,Joinery - Drawer/Door not functional,,,None,0.00
Zano,10561437538372,Building > Level 03 > Apartments > 302 > Kitchen,22/07/2015,vincec,Incomplete Works,Builder,XPRO Constructions Pty Ltd. (Ivan Delic),27/07/2015,None,Closed,"Plaster - build wall, patch and sand to conceal services which has been completely missed",,,None,0.00
Zano,10571429166886,Building > Level 01 > Apartments > 101 > Bath,16/04/2015,jderbyshire,Defect,Builder,XPRO Constructions Pty Ltd. (Ivan Delic),17/04/2015,None,Closed,Patch around taps and fill shower base,"Urgent

Closed Off  BP -09.07.2015
",,None,0.00
