Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Casabella,10331437630330,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Marks on wall behind front entry door,,,None,0.00
Casabella,10331437630394,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Poor quality finish of nib at right hand side of laundry ,,,None,0.00
Casabella,10331437630570,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Rear wall of laundry not painted,,,None,0.00
Casabella,10331437630754,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Scratch marks on laundry bi fold door 2mt height 2nd door from left.,,,None,0.00
Casabella,10331437630860,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Ceiling needs reaping patchy in all areas,,,None,0.00
Casabella,10331437631654,Ground Level > APT-G02 > Bed 1,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Marks on wall at right hand side of gpo,,,None,0.00
Casabella,10331437631713,Ground Level > APT-G02 > Bed 1,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Poor paint work in the robe cupboard ,,,None,0.00
Casabella,10331437632929,Ground Level > APT-G02 > Kitchen/Dining,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Poor detail on right hand side of balcony window,,,None,0.00
Casabella,10331437633051,Ground Level > APT-G02 > Bed 2,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Poor painting detail on edge of window ,,,None,0.00
Casabella,10331437633095,Ground Level > APT-G02 > Bed 2,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Poor painting detail to all areas in this room,,,None,0.00
Casabella,10331437633550,Ground Level > APT-G02 > Bathroom,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Repainted walls in bathroom ,,,None,0.00
Casabella,10331437633708,Ground Level > APT-G01 > Living,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Front door needs painting,,,None,0.00
Casabella,10331437633761,Ground Level > APT-G01 > Living,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Painting in entire apartment needs defecting once lights on.,,,None,0.00
Casabella,10331437634498,Ground Level > APT-G01 > Bed 2,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Paint on door stricter ,,,None,0.00
Casabella,10331437634572,Ground Level > APT-G01 > Bed 2,2015-07-23,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-07-30,None,Open,Paint - Scratched around window,,,None,0.00
Casabella,10331437788831,Ground Level > APT-G04 > Bathroom,2015-07-25,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-08-01,None,Open,Architrave's on door require repainting as nail holes still visible ,,,None,0.00
Casabella,10331437788860,Ground Level > APT-G04 > Bathroom,2015-07-25,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-08-01,None,Open,Paint on hinges,,,None,0.00
Casabella,10331437789065,Ground Level > APT-G04 > Bed 1,2015-07-25,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-08-01,None,Open,Nail holes visible on Architrave's,,,None,0.00
Casabella,10331437789192,Ground Level > APT-G04 > Bed 1,2015-07-25,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-08-01,None,Open,Painting poor on walls ,,,None,0.00
Casabella,10331437789276,Ground Level > APT-G04 > Living,2015-07-25,jgiordano,Defect,Builder,AC Group (Tony Cardillo),2015-08-01,None,Open,Front door requires re paint ,,,None,0.00
