Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Duo Apartments,8761411950796,Roof > Services > Plant,29/09/2014,dshand,Defect,Builder,HWM Group (Ben Heverin),01/10/2014,None,Open,Hole is too deep,,,None,0.00
Duo Apartments,8761411951090,Roof > Services > Plant,29/09/2014,dshand,Defect,Builder,HWM Group (Ben Heverin),03/10/2014,None,Open,Caulk to mirror left edge,,,None,0.00
Duo Apartments,8761411953550,Roof > Services > Plant,29/09/2014,dshand,Defect,Builder,HWM Group (Ben Heverin),16/10/2014,None,Open,Light not working,,,None,0.00
Duo Apartments,8761411953604,Roof > Services > Plant,29/09/2014,dshand,Defect,Builder,HWM Group (Ben Heverin),24/10/2014,None,Open,Carpet not laid,,,None,0.00
Duo Apartments,9181421101393,Roof > Services > Plant,13/01/2015,dshand,Defect,Builder,HWM Group (Ben Heverin) > NA,13/01/2015 > 16/01/2015,Backcharge > Variation,Open > Open,Patch and paint,,,Low,100.00
Duo Apartments,9181421101421,Roof > Services > Plant,13/01/2015,dshand,Defect,Builder,HWM Group (Ben Heverin),13/01/2015,Backcharge,Open,Missing hinge,,,Low,100.00
Duo Apartments,9181421101491,Roof > Common Areas > BBQ,13/01/2015,dshand,Defect,Builder,HWM Group (Ben Heverin),13/01/2015,None,Open,General clean,,,None,0.00
