Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Edgewater,7781406159750,Level 02 > 2.04 > Balcony,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),25/07/2014,None,Open,Clean outside sliding door on main balcony,,,None,0.00
Edgewater,7781406159810,Level 02 > 2.04 > Balcony,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,26/07/2014,None,Open,Scratch on bedroom 2 window frame,,,None,0.00
Edgewater,7781406183860,Level 01 > 1.19 > Balcony,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,02/08/2014,None,Open,Scratch marks on balcony door need to touch up,,,None,0.00
Edgewater,7781406247056,Level 01 > 1.18 > Balcony,25/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),31/07/2014,None,Open,Paint bottom of FC sheet cladding on balcony,,,None,0.00
Edgewater,7781406265746,Level 02 > 2.19 > Balcony,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),31/07/2014,None,Open,General clean up on balcony tiles and door frames,,,None,0.00
Edgewater,7781406269467,Level 03 > 3.06 > Balcony,25/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),01/08/2014,None,Open,General clean of paint and caulking marks on door frames and window frames and tiles,,,None,0.00
Edgewater,7821406171130,Level 01 > 1.14 > Balcony,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,24/07/2014,None,Open,Touch up sill,,,None,0.00
Edgewater,7821406249933,Level 01 > 1.09 > Balcony,25/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,25/07/2014,None,Open,"Re caulk window
",,,None,0.00
Edgewater,7821406254436,Level 01 > 1.11 > Balcony,25/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,25/07/2014,None,Open,Fill and paint,,,None,0.00
Edgewater,7821406508729,Level 02 > 2.11 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),02/08/2014,None,Open,Paint wall,,,None,0.00
Edgewater,7821406508760,Level 02 > 2.11 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),02/08/2014,None,Open,Clean frames,,,None,0.00
Edgewater,7821406510998,Level 02 > 2.12 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),02/08/2014,None,Open,Clean windows and frame,,,None,0.00
Edgewater,7821406511121,Level 02 > 2.12 > Balcony,28/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K) > Easy Painting (Steve Bruni),02/08/2014 > 02/08/2014,None > None,Open > Open,"Down pipe not painted
Sheet not caulked
",,,None,0.00
Edgewater,7821406511153,Level 02 > 2.12 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),02/08/2014,None,Open,Complete paint,,,None,0.00
Edgewater,7821406511184,Level 02 > 2.12 > Balcony,28/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,02/08/2014,None,Open,Touch up window,,,None,0.00
Edgewater,7821406514868,Level 03 > 3.01 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),02/08/2014,None,Open,"Clean windows and frames.

",,,None,0.00
Edgewater,7821406514958,Level 03 > 3.01 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),02/08/2014,None,Open,Roller marks and patchy paint work. Paint dp,,,None,0.00
Edgewater,7821406517027,Level 03 > 3.11 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),02/08/2014,None,Open,Clean frames and glass,,,None,0.00
Edgewater,7821406519569,Level 03 > 3.17 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),02/08/2014,None,Open,Clean frames and glass,,,None,0.00
Edgewater,7821406519615,Level 03 > 3.17 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni) > ABD Group (Alex K),02/08/2014 > 02/08/2014,None > None,Open > Open,Sand and paint,,,None,0.00
Edgewater,7821406522402,Level 03 > 3.18 > Balcony,28/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),02/08/2014,None,Open,Clean frame and glass,,,None,0.00
Edgewater,7821406596615,Level 02 > 2.13 > Balcony,29/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),05/08/2014,None,Open,Clean frames and windows,,,None,0.00
Edgewater,7821406679298,Level 03 > 3.04 > Balcony,30/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),06/08/2014,None,Open,Repaint ext wall at patch,,,None,0.00
Edgewater,7821406786534,Level 03 > 3.03 > Balcony,31/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),07/08/2014,None,Open,Remove tape and touch up,,,None,0.00
Edgewater,7821407374876,Level 05 > 5.01 > Balcony,07/08/2014,peterj,Defect,Purchaser,Executive Sound & Window,12/08/2014,None,Open,Sliding door hard to slide open ,,,None,0.00
Edgewater,7821407375595,Level 05 > 5.01 > Balcony,07/08/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),12/08/2014,None,Open,Complete painting at handrail ,,,None,0.00
Edgewater,7821407375680,Level 05 > 5.01 > Balcony,07/08/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),12/08/2014,None,Open,Clean paint ,,,None,0.00
Edgewater,7821407546785,Level 02 > 2.08 > Balcony,09/08/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),12/08/2014,None,Open,"Clean windows and frames, paint all over",,,None,0.00
