Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Edgewater,7781406158781,Level 02 > 2.04 > Kitchen,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),25/07/2014,None,Fixed,Stain on bench top,,,None,0.00
Edgewater,7781406159394,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Defect,Purchaser,Executive Sound & Window,25/07/2014,None,Fixed,Adjust door out to small balcony,,,None,0.00
Edgewater,7781406159581,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),26/07/2014,None,Fixed,Patch and paint wall edge,,,None,0.00
Edgewater,7781406159666,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),25/07/2014,None,Fixed,Clean outside door to small balcony,,,None,0.00
Edgewater,7781406160163,Level 02 > 2.04 > Bathroom,24/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),26/07/2014,None,Fixed,Black paint on wall behind door. White mark,,,None,0.00
Edgewater,7781406160666,Level 02 > 2.04 > Bedroom 2,24/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K) > Easy Painting (Steve Bruni),26/07/2014 > 24/07/2014,None > None,Fixed > Fixed,Finish corner of carpet. Remove nail,,,None,0.00
Edgewater,7781406162946,Level 03 > 3.13 > Bedroom,24/07/2014,peterj,Defect,Purchaser,Vast Electrical Services Pty Ltd,28/07/2014,None,Fixed,Cover missing,,,None,0.00
Edgewater,7781406163061,Level 03 > 3.13 > Kitchen,24/07/2014,peterj,Defect,Purchaser,NA,28/07/2014,None,Fixed,Missing cover on fridge PowerPoint,,,None,0.00
Edgewater,7781406168973,Level 01 > 1.05 > Balcony,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),30/07/2014,None,Fixed,Clean window frame and facade outside.,,,None,0.00
Edgewater,7781406169013,Level 01 > 1.05 > Balcony,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),30/07/2014,None,Fixed,Clean sliding door track on balcony,,,None,0.00
Edgewater,7781406169181,Level 01 > 1.05 > Bathroom,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),28/07/2014,None,Fixed,Clean shower screen,,,None,0.00
Edgewater,7781406169214,Level 01 > 1.05 > Bathroom,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),29/07/2014,None,Fixed,Remove sticker residue on toilet,,,None,0.00
Edgewater,7781406169265,Level 01 > 1.05 > Bathroom,24/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),28/07/2014,None,Fixed,Finish wall paint between switch and jamb,,,None,0.00
Edgewater,7781406169415,Level 01 > 1.05 > Living,24/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni) > XPRO Constructions Pty Ltd.,29/07/2014 > 29/07/2014,None > None,Fixed > Fixed,"Sand, patch and paint wall",,,None,0.00
Edgewater,7781406169473,Level 01 > 1.05 > Bedroom 1,24/07/2014,peterj,Defect,Purchaser,Easy Painting (Steve Bruni),29/07/2014,None,Fixed,Sand and paint wall,,,None,0.00
Edgewater,7781406169615,Level 01 > 1.05 > Living,24/07/2014,peterj,Defect,Purchaser,Easy Cleaning (Steve Bruni),28/07/2014,None,Fixed,Clean paint splatter on sliding door,,,None,0.00
