Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Edgewater,7781406159875,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Issue,Purchaser,NA,28/07/2014,None,Pending,Need hole in desktop for computer cables. Beyo group to review,,,None,0.00
Edgewater,7781406159943,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Issue,Purchaser,NA,28/07/2014,None,Pending,Lift book case above desk. Beyo group to review,,,None,0.00
Edgewater,7781406159988,Level 02 > 2.04 > Bedroom 1,24/07/2014,peterj,Issue,Purchaser,NA,28/07/2014,None,Pending,Install Air conditioner unit on wall. Beyo group to review,,,None,0.00
Edgewater,7781406184681,Level 01 > 1.19 > Balcony,24/07/2014,peterj,Issue,Purchaser,Baron Forge (tiler) (Scott Kidd),29/08/2014,None,Pending,Purchaser asked if this piece of tile around the down pipe can be glued to look a bit better than this,,,None,0.00
Edgewater,7781406255123,Level 03 > 3.10 > Balcony,25/07/2014,peterj,Defect,Purchaser,NA,31/07/2014,None,Pending,Clean up walls and sliding doors on balcony. Touch up with paint.,,,None,0.00
Edgewater,7781406268514,Level 03 > 3.06 > Bedroom 1,25/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),01/08/2014,None,Pending,Desk not level - need to check this with a level and adjust if the case. Also plaster needs to be patched under the desk,,,None,0.00
Edgewater,7821403829954,Ground > G.13 > Entry/Hall,27/06/2014,peterj,Defect,Superintendant,DPS (Grant Rowberry),30/06/2014,None,Pending,"Adjust drawer, new runners",,,None,0.00
Edgewater,7821406066363,Level 02 > 2.03 > Kitchen,23/07/2014,peterj,Incomplete Works,Builder,Easy Cleaning (Steve Bruni),23/07/2014,None,Pending,"Buff floor tiles, wipe down. Benches etc",,,None,0.00
Edgewater,7821406358129,Level 02 > 2.01 > Bedroom,26/07/2014,peterj,Defect,Purchaser,DPS (Grant Rowberry),01/08/2014,None,Pending,Bump stop,,,None,0.00
Edgewater,7821406359104,Level 02 > 2.01 > Bathroom,26/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K),01/08/2014,None,Pending,Caulk mirror either side,,,None,0.00
Edgewater,7821406512075,Level 02 > 2.12 > Bathroom,28/07/2014,peterj,Defect,Purchaser,XPRO Constructions Pty Ltd.,02/08/2014,None,Pending,Check for tolerance of ceiling,,,None,0.00
Edgewater,7821406782721,Level 02 > 2.17 > Bedroom,31/07/2014,peterj,Defect,Purchaser,XPRO Constructions Pty Ltd.,07/08/2014,None,Pending,Check alignment of plaster walls for standards and tolerances,,,None,0.00
Edgewater,7821406782780,Level 02 > 2.17 > Bedroom,31/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K),07/08/2014,None,Pending,Caulk to robe jamb,,,None,0.00
Edgewater,7821407479047,Level 04 > 4.10,08/08/2014,peterj,Defect,Purchaser,XPRO Constructions Pty Ltd.,13/08/2014,None,Pending,Panel out of line,,,None,0.00
Edgewater,7821407479110,Level 04 > 4.10,08/08/2014,peterj,Defect,Purchaser,ABD Group (Alex K),13/08/2014,None,Pending,Make good slab edge,,,None,0.00
Edgewater,8491404795294,Level 02 > 2.06 > Bathroom,08/07/2014,peterj,Defect,Superintendant,Trio Plumbing Australia,11/07/2014,None,Pending,Fix back,,,None,0.00
Edgewater,8491404797413,Level 02 > 2.07 > Bathroom,08/07/2014,peterj,Defect,Superintendant,Trio Plumbing Australia,11/07/2014,None,Pending,Fixed to wall,,,None,0.00
Edgewater,8511406342831,Level 02 > 2.10 > Balcony,26/07/2014,peterj,Defect,Purchaser,ABD Group (Alex K),02/08/2014,None,Pending,Rough finish to side of precast wall on balcony. Need smother finish.,,,None,0.00
