Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,8491405036476,Level 01,11/07/2014,billb,Defect,Superintendant,ABD Group (Mick S),19/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475571,Level 01 > 101D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475585,Level 01 > 102D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475598,Level 01 > 103D,16/07/2014,billb,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475611,Level 01 > 104D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475623,Level 01 > 105D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475635,Level 01 > 106D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475648,Level 01 > 107D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475659,Level 01 > 108D,16/07/2014,billb,Defect,Superintendant,Dynamite Cleaning (DC),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475672,Level 01 > 109D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475686,Level 01 > 110D,16/07/2014,billb,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475699,Level 01 > 111D,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475716,Level 01 > 113D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475730,Level 01 > 114D,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475743,Level 01 > 115D,16/07/2014,billb,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405475756,Level 01 > 116D,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405476059,Level 01 > 116D > Bathroom,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Need caulking,,,None,0.00
La Scala,8491405476080,Level 01 > 116D > Bathroom,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Pencil mark,,,None,0.00
La Scala,8491405476127,Level 01 > 116D > Laundry,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405476160,Level 01 > 116D > Bathroom,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Need caulking,,,None,0.00
La Scala,8491405476312,Level 01 > 116D > Bedroom 1,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint ceiling,,,None,0.00
La Scala,8491405476330,Level 01 > 116D > Bedroom 1,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint ceiling,,,None,0.00
La Scala,8491405476354,Level 01 > 116D > Bedroom 1,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Touch up,,,None,0.00
La Scala,8491405476458,Level 01 > 116D > Living,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Touch up scratches,,,None,0.00
La Scala,8491405476479,Level 01 > 116D > Living,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Touch up,,,None,0.00
La Scala,8491405476498,Level 01 > 116D > Living,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405476639,Level 01 > 116D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint bulkhead,,,None,0.00
La Scala,8491405476683,Level 01 > 116D > Kitchen,16/07/2014,billb,Defect,Superintendant,DPS (Bruce),25/07/2014,None,Open,Drawer jam at bench top,,,None,0.00
La Scala,8491405476748,Level 01 > 116D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405476908,Level 01 > 115D > Laundry,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405476944,Level 01 > 115D > Bathroom,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Waste pipe incomplete,,,None,0.00
La Scala,8491405476971,Level 01 > 115D > Bathroom,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Need caulking,,,None,0.00
La Scala,8491405477002,Level 01 > 115D > Bathroom,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,"Need caulking, clean paint marks",,,None,0.00
La Scala,8491405477184,Level 01 > 115D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Wall need 2nd coat,,,None,0.00
La Scala,8491405477207,Level 01 > 115D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Fill gap,,,None,0.00
La Scala,8491405477232,Level 01 > 115D > Kitchen,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Adjust doors,,,None,0.00
La Scala,8491405477253,Level 01 > 115D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Reinstall door touch latch,,,None,0.00
La Scala,8491405477291,Level 01 > 115D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Drawer jam at bench top Install door,,,None,0.00
La Scala,8491405477321,Level 01 > 115D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint bulkhead,,,None,0.00
La Scala,8491405477392,Level 01 > 115D > Kitchen,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Touch up,,,None,0.00
La Scala,8491405477440,Level 01 > 115D > Living,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint and touch up,,,None,0.00
La Scala,8491405477533,Level 01 > 115D > Bedroom 1,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Touch up,,,None,0.00
La Scala,8491405477566,Level 01 > 115D > Bedroom 1,16/07/2014,kreardon,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405477586,Level 01 > 115D > Bedroom 1,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405477609,Level 01 > 115D > Bedroom 1,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,"Adjust door, hard to slide",,,None,0.00
La Scala,8491405477776,Level 01 > 114D > Laundry,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
La Scala,8491405477819,Level 01 > 114D > Bathroom,16/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),25/07/2014,None,Closed,Repaint,,,None,0.00
