Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
La Scala,8491405036376,Ground,11/07/2014,billb,Defect,Superintendant,ABD Group (Mick S),19/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298488,Ground > 11D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298509,Ground > 13D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),14/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298528,Ground > 14D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),14/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298544,Ground > 15D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298558,Ground > 16D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298570,Ground > 1D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298582,Ground > 2D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298594,Ground > 3D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298607,Ground > 4D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298618,Ground > 5D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298630,Ground > 6D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298643,Ground > 7D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298657,Ground > 8D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
La Scala,8491405298669,Ground > 9D,14/07/2014,henryt,Defect,Superintendant,ABD Group (Mick S),23/07/2014,None,Closed,General clean,,,None,0.00
