Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Metro West,7721395373237,Level 01 > 140 > Bathroom > Laundry,21/03/2014,neriof,Defect,Builder,Protect Fire Systems (Steve Butterworth),30/03/2014,None,Open,Sprinkler head in the way of laundry door,Protect Fire,,None,0.00
Metro West,7721395780597,Level 01 > 108 > Bathroom,26/03/2014,jarrodd,Defect,Builder,Trio Plumbing (Ward),17/04/2014,None,Open,Seat not fixed,,,None,0.00
Metro West,7721395781206,Level 01 > 110 > Bedroom 1,26/03/2014,jarrodd,Defect,Builder,Easy Painting (John),17/04/2014,None,Open,Ceiling above robe door needs touch up,,,None,0.00
Metro West,7721395781485,Level 01 > 110 > Kitchen,26/03/2014,jarrodd,Defect,Builder,Trio Plumbing (Ward),17/04/2014,None,Open,Toilet seat not fixed,,,None,0.00
Metro West,7721395783068,Level 01 > 113 > Bathroom,26/03/2014,jarrodd,Defect,Builder,Trio Plumbing (Ward),17/04/2014,None,Open,Toilet seat not fixed,,,None,0.00
Metro West,7721395783359,Level 01 > 114 > Bathroom,26/03/2014,jarrodd,Defect,Builder,Trio Plumbing (Ward),17/04/2014,None,Open,Toilet seat not fixed,,,None,0.00
Metro West,7721395784534,Level 01 > 117 > Bathroom,26/03/2014,jarrodd,Defect,Builder,Trio Plumbing (Ward),17/04/2014,None,Open,Toilet seat not fixed,,,None,0.00
Metro West,7721395786279,Level 01 > 139 > Kitchen,26/03/2014,neriof,Defect,Builder,Gosa (Colin),31/03/2014,None,Open,Over head doors imperfections,,,None,0.00
Metro West,7721395891597,Level 01 > 121 > Kitchen,27/03/2014,neriof,Defect,Builder,GOOD GUYS –APPLIANCES (John B),29/03/2014,None,Open,Range hood not working properly making noise not turning off.,,,None,0.00
Metro West,7721395958921,Level 01 > 121 > Kitchen,28/03/2014,neriof,Defect,Builder,Metroceramics (Andrew),30/03/2014,None,Open,Tiles not finished all the way to pantry,,,None,0.00
Metro West,7721395981701,Level 01 > 138 > Bathroom,28/03/2014,neriof,Defect,Builder,Gosa (Colin),31/03/2014,None,Open,Missing stone,,,None,0.00
Metro West,8021396929595,Level 01 > 108 > Living,08/04/2014,jarrodd,Issue,Builder,Easy Painting (John),17/04/2014,None,Open,Painters tape left on window frames. Need to remove ASAP,,,None,0.00
