Project,Inspection Id,Location,Date Raised,Inspected By,Inspecton Type,Raised By,Issue To,Fixed By Date,Cost Attribute,Status,Description,Note,Cost Impact,Cost Impact Price
Edgewater,7821400129607,Ground > G.01 > Kitchen,2014-05-15,peterj,Defect,Builder,Easy Painting (John),2014-05-18,None,Closed,Complete painting throughout.,,,None,0.00
Edgewater,7821400189573,Ground > G.10 > Living,2014-05-16,peterj,Defect,Builder,Easy Painting (John),2014-05-19,None,Closed,Caulk window to wall,,,None,0.00
Edgewater,7821400189668,Ground > G.10 > Living,2014-05-16,peterj,Defect,Builder,Easy Painting (John),2014-05-19,None,Closed,Rectify skirt to wall,,,None,0.00
Edgewater,7821403825475,Ground > G.18 > Bathroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Closed,Re paint on all patch and caulk,,,None,0.00
Edgewater,7821403825572,Ground > G.18 > Entry/Hall,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Door frame incomplete painting,,,None,0.00
Edgewater,7821403825906,Ground > G.18 > Entry/Hall,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,chip on sliding door Repaint doors see through,,,None,0.00
Edgewater,7821403826141,Ground > G.18 > Kitchen,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Water mark  No painting,,,None,0.00
Edgewater,7821403826281,Ground > G.18 > Kitchen,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Closed,Bulkhead incomplete painting Missing shelf,,,None,0.00
Edgewater,7821403826454,Ground > G.18 > Balcony,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Incomplete,,,None,0.00
Edgewater,7821403826990,Ground > G.16 > Bathroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Closed,"Caulking, Re paint  Missing towel rail",,,None,0.00
Edgewater,7821403827071,Ground > G.16 > Bathroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,"Re paint on frame, skirting and door",,,None,0.00
Edgewater,7821403827159,Ground > G.16 > Entry/Hall,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Clean Hinges ,,,None,0.00
Edgewater,7821403827420,Ground > G.16 > Bedroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Chip on door,,,None,0.00
Edgewater,7821403827694,Ground > G.15 > Entry/Hall,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Closed,Gap the hole,,,None,0.00
Edgewater,7821403827950,Ground > G.15 > Bathroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,"Clean tile in shower, Incomplete painting",,,None,0.00
Edgewater,7821403827977,Ground > G.15 > Bathroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Re paint,,,None,0.00
Edgewater,7821403828062,Ground > G.15 > Entry/Hall,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Patch and re paint the wall,,,None,0.00
Edgewater,7821403828184,Ground > G.15 > Bedroom,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Scratch need re paint Sand and re paint the plaster mark,,,None,0.00
Edgewater,7821403828321,Ground > G.15 > Kitchen,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Incomplete painting and water mark on wall Dirty mark on wall,,,None,0.00
Edgewater,7821403828368,Ground > G.15 > Balcony,2014-06-27,peterj,Defect,Superintendant,Easy Painting (Steve Bruni),2014-06-30,None,Open,Incomplete painting,,,None,0.00
